nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       159, 8.006287217E-01, 3.947060406E-01, 5.000000000E-01, 3.263984993E-02, 1.893481240E-02, 1.875157977E-05
       160, 1.000686288E+00, 3.954787552E-01, 5.000000000E-01, 2.970350534E-02, 2.931281552E-02, 1.943994357E-05
       161, 1.200216651E+00, 3.966570795E-01, 5.000000000E-01, 1.951460913E-02, 4.468665272E-02, 1.609825085E-05
       162, 1.439930820E+01, 3.967455328E-01, 5.000000000E-01,-5.028195381E-01,-4.895662423E-03, 8.061140561E-15
       163, 1.359748936E+01, 3.970944881E-01, 5.000000000E-01,-5.154712200E-01,-7.765395101E-03, 1.237049878E-13
       164, 1.239700413E+01, 3.977794051E-01, 5.000000000E-01,-5.252308846E-01, 2.431556059E-04, 4.587449517E-11
       165, 3.975819349E-01, 3.981049359E-01, 5.000000000E-01, 2.591978200E-02, 6.805593614E-03, 1.671555401E-05
       166, 1.419948387E+01, 3.983031809E-01, 5.000000000E-01,-5.051177740E-01,-6.406692322E-03, 2.607005628E-14
       167, 1.460227776E+01, 3.985745907E-01, 5.000000000E-01,-5.012714863E-01,-3.289361252E-03, 2.554058981E-22
       168, 1.399625778E+00, 3.986821175E-01, 5.000000000E-01, 1.811161637E-03, 5.838713422E-02, 1.079424874E-05
       169, 1.480131912E+01, 3.996984363E-01, 5.000000000E-01,-5.004226565E-01,-1.844375161E-03, 5.039466111E-22
       170, 1.500000000E+01, 3.999979794E-01, 5.000000000E-01,-5.000000000E-01, 0.000000000E+00, 7.307611102E-22
       171, 1.600063086E+00, 4.009688795E-01, 4.999999702E-01,-2.043610066E-02, 6.008809805E-02, 1.028645420E-05
       172, 1.379778957E+01, 4.014899135E-01, 5.000000000E-01,-5.117365718E-01,-8.053924888E-03, 1.060889386E-13
       173, 1.986938268E-01, 4.015906453E-01, 4.999999702E-01, 1.633576676E-02, 2.337033395E-03, 1.631273153E-05
       174, 0.000000000E+00, 4.024269879E-01, 4.999999702E-01, 0.000000000E+00, 0.000000000E+00, 1.612315464E-05
       175, 1.219908905E+01, 4.026092887E-01, 5.000000000E-01,-5.246098638E-01, 9.430883802E-04, 8.426991049E-11
       176, 1.800039411E+00, 4.027626812E-01, 5.000000000E-01,-4.343515262E-02, 4.839556664E-02, 1.391879414E-05
       177, 1.199936104E+01, 4.030438960E-01, 5.000000000E-01,-5.237560868E-01, 1.370095415E-03, 1.424565327E-10
       178, 1.399868679E+01, 4.032334685E-01, 5.000000000E-01,-5.081673265E-01,-7.607751060E-03, 6.437711285E-14
       179, 1.179977894E+01, 4.037126601E-01, 5.000000000E-01,-5.228600502E-01, 1.577209216E-03, 2.279806205E-10
       180, 2.199858189E+00, 4.038111866E-01, 5.000000000E-01,-8.195835352E-02, 1.983795315E-02, 1.729472933E-05
       181, 1.999976993E+00, 4.038432837E-01, 5.000000000E-01,-6.375605613E-02, 3.199278191E-02, 1.679272464E-05
       182, 1.119956303E+01, 4.038662314E-01, 5.000000000E-01,-5.205776691E-01, 1.479309285E-03, 7.111335409E-10
       183, 1.139970684E+01, 4.039239585E-01, 5.000000000E-01,-5.212315321E-01, 1.569865039E-03, 5.018083171E-10
       184, 1.159987354E+01, 4.039616585E-01, 5.000000000E-01,-5.219988823E-01, 1.620421652E-03, 3.451736397E-10
       185, 1.099965858E+01, 4.039629996E-01, 5.000000000E-01,-5.200348496E-01, 1.368190860E-03, 9.715233062E-10
       186, 6.600144863E+00, 4.046494961E-01, 5.000000000E-01,-5.013145208E-01, 1.060156338E-02, 3.119770042E-08
       187, 6.400009155E+00, 4.046579301E-01, 5.000000000E-01,-4.974770546E-01, 1.245713141E-02, 3.266464432E-08
       188, 3.199750423E+00, 4.046655893E-01, 5.000000000E-01,-2.233982235E-01, 5.502029508E-02, 1.124937626E-06
       189, 3.399752378E+00, 4.046787322E-01, 5.000000000E-01,-2.594004571E-01, 6.000655144E-02, 1.407911725E-07
       190, 3.999770641E+00, 4.046878517E-01, 4.999999702E-01,-3.462865353E-01, 5.685987324E-02, 1.708816555E-08
       191, 2.999924421E+00, 4.046885073E-01, 5.000000000E-01,-1.853339374E-01, 4.475680739E-02, 4.112878742E-06
       192, 6.800150394E+00, 4.046898186E-01, 5.000000000E-01,-5.044549704E-01, 9.026457556E-03, 2.982429947E-08
       193, 3.799776316E+00, 4.047060609E-01, 5.000000000E-01,-3.204097152E-01, 5.986693501E-02, 1.446418096E-08
